Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2021-05-28 09:14 (EST),On Demand,Matt Wilpers,30,Running,Intervals,30 min Intervals Run,2021-05-25 07:31 (EST),,,,,,,252,,,
2021-05-29 08:00 (-04),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2020-11-21 08:52 (-04),256,71,28%,97,13.50,13.50,521,141.36,,
2021-05-30 09:41 (EST),On Demand,Matt Wilpers,20,Running,Theme,20 min Mood Run: Confident,2021-05-26 10:45 (EST),,,,,,,13,,,
2021-06-02 18:09 (EST),On Demand,Adrian Williams,20,Running,Music,20 min 90s Run,2021-05-23 08:21 (EST),,,,,,,173,,,
2021-06-04 07:05 (-04),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2021-06-02 05:53 (-04),216,80,28%,106,14.65,10.99,435,149.76,,
2021-06-04 07:52 (-04),On Demand,Tunde Oyeneyin,30,Cycling,Intervals,30 min Intervals & Arms Ride,2021-05-28 16:56 (-04),80,44,28%,68,9.88,4.94,192,120.00,,
2021-06-04 08:23 (-04),On Demand,Tunde Oyeneyin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-04-06 09:00 (-04),,,,,,,12,77.50,,
2021-06-05 07:05 (EST),On Demand,Matt Wilpers,30,Running,Endurance,30 min Recovery Run,2021-06-03 10:00 (EST),,,,,,,252,,,
2021-06-06 06:43 (-04),On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,2019-11-09 13:35 (-04),303,56,27%,83,11.74,17.61,593,123.55,,
2021-06-08 11:38 (EST),On Demand,Matt Wilpers,30,Running,Endurance,30 min Endurance Run,2021-06-04 10:21 (EST),,,,,,,252,,,
2021-06-10 08:36 (EST),On Demand,Jess King,30,Running,Music,30 min 90s Run,2021-05-25 10:25 (EST),,,,,,,261,,,
2021-06-12 07:35 (EST),On Demand,Anna Greenberg,20,Yoga,Power,20 min Power Yoga,2021-05-26 07:55 (EST),,,,,,,65,,,
2021-06-15 07:50 (-04),On Demand,Alex Toussaint,30,Cycling,Theme,30 min Club Bangers Ride,2021-06-14 19:22 (-04),159,88,33%,92,15.33,7.67,298,152.14,,
2021-06-15 08:22 (-04),On Demand,Emma Lovewell,30,Cycling,Music,30 min 90s Pop Ride,2021-06-14 07:52 (-04),137,76,30%,94,14.28,7.14,285,148.46,,
2021-06-15 08:52 (-04),On Demand,Emma Lovewell,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2021-02-16 10:00 (-04),16,53,28%,81,12.14,1.01,33,123.14,,
2021-06-15 08:59 (-04),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-05-04 09:00 (-04),,,,,,,16,90.21,,
2021-06-17 09:22 (EST),On Demand,Matt Wilpers,20,Running,Music,20 min Classic Rock Run,2021-05-25 06:54 (EST),,,,,,,173,,,
